unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
592,592,0.8,0.2,0.074,0.2,8.1,6.5,3.1,2.6,0.0,0.023,246.5,0.0,0.0,0.1,0.096,0.0,0.2,1.2,0.5,0.4,46.5,0.0,0.3,0.033,41.6,0.1,1.0,46.8,0.5,98.8,678.6,0.05,15.151,group5,zucchini raw,44
593,593,0.3,0.032,0.033,0.034,7.2,3.8,3.0,4.0,0.0,0.4,148.1,0.0,0.2,0.097,0.0,0.024,1.4,0.3,0.3,26.1,0.0,0.4,0.057,123.2,0.1,0.4,57.6,0.5,51.2,216.0,0.065,0.7,164.2,group5,okra cooked,35
594,594,0.1,0.076,0.083,0.091,2.6,0.0,1.1,1.4,0.0,0.049,95.4,0.0,0.002,0.097,0.0,0.095,0.3,0.2,0.079,29.0,0.0,0.0,0.0,27.0,0.036,0.8,9.0,0.047,28.0,280.0,0.044,0.1,62.0,group5,white icicle radish,14
595,595,0.2,0.097,0.062,0.046,3.5,0.0,1.3,1.0,0.0,0.001,105.2,0.0,0.0,0.067,0.06,0.0,0.027,0.7,0.2,0.071,17.8,0.0,0.0,0.0,5.6,0.079,0.5,8.9,0.099,32.2,235.3,0.006,6.093,group5,orange tomato,18
596,596,0.2,0.053,0.063,0.039,0.9,0.0,1.2,0.0,0.0,0.057,36.2,0.0,0.049,0.042,0.0,0.055,0.4,0.022,0.015,4.3,0.0,0.0,0.0,15.2,0.063,0.9,14.8,0.1,40.6,170.0,0.085,0.045,22.7,group5,pumpkin leaves raw,7
597,597,0.4,0.091,0.0,0.2,10.0,3.9,1.0,2.2,0.0,0.4,143.1,0.0,0.026,0.099,0.0,0.017,1.3,0.6,0.2,5.4,0.0,0.2,0.083,32.6,0.097,0.5,17.1,0.2,0.0,181.4,0.056,0.3,52.1,group5,spaghetti squash cooked,42
598,598,1.5,0.2,0.4,0.6,22.4,8.0,3.4,2.8,0.0,0.082,75.0,0.0,0.0,0.099,0.093,0.0,0.05,1.7,0.8,0.1,6.4,0.0,0.037,0.017,2.1,0.052,0.6,31.9,0.2,94.8,259.6,0.056,30.302,group5,white corn cooked,100
599,599,0.4,0.059,0.077,0.2,14.3,1.2,3.5,10.3,0.0,0.087,100.9,0.0,0.0,0.017,0.1,0.0,0.1,1.3,0.3,0.028,8.9,0.0,0.2,0.035,25.2,0.2,0.7,50.4,0.3,87.6,343.2,0.074,28.845,group5,artichoke cooked,64
600,600,39.6,5.7,26.5,4.9,23.0,1.8,5.4,18.1,0.0,0.045,197.7,0.0,0.0,0.2,0.2,0.0,0.4,4.7,3.8,0.7,27.0,0.0,5.6,0.078,32.4,0.5,1.5,78.3,0.4,140.4,1309.5,0.052,87.302,group5,avocado,432
601,601,0.0,0.0,0.0,0.0,1.7,0.3,0.3,0.087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,group5,string beans wellsley farms,8
602,602,1.3,0.085,0.2,0.6,9.0,1.1,5.8,3.8,0.0,0.5,160.0,0.0,0.2,0.077,0.0,0.5,1.6,0.1,0.3,66.6,0.0,0.0,0.9,464.4,0.4,1.3,41.4,0.9,81.0,518.4,0.005,0.5,552.2,group5,lambs quarters cooked,58
603,603,0.4,0.065,0.05,0.2,25.0,9.5,8.6,8.8,0.0,0.074,124.6,0.0,0.0,0.4,0.1,0.0,0.2,3.2,0.2,0.3,22.7,0.0,0.2,0.011,43.2,0.3,2.5,62.4,0.8,187.2,433.6,0.005,43.499,group5,peas cooked,134
604,604,0.085,0.026,0.024,0.07,5.0,4.0,0.8,1.0,0.0,0.035,43.5,0.0,0.0,0.033,0.023,0.0,0.065,0.2,0.079,0.026,1.8,0.0,0.016,0.099,8.0,0.021,0.4,11.5,0.2,19.0,152.5,0.009,7.012,group5,beets cooked,22
605,605,0.013,0.063,0.043,0.061,0.7,0.3,0.1,0.1,0.0,0.059,0.087,0.0,0.0,0.044,0.02,0.0,0.013,0.018,0.05,0.096,0.4,0.0,0.093,0.043,1.6,0.082,0.021,0.9,0.088,2.7,14.9,0.032,1.07,group5,shallots dried,3
606,606,0.2,0.027,0.075,0.1,4.3,1.2,2.0,2.0,0.0,0.05,142.5,0.0,0.0,0.1,0.077,0.0,0.1,0.6,0.2,0.1,13.8,0.0,0.3,0.2,54.0,0.012,1.3,19.5,0.4,43.5,291.0,0.086,8.829,group5,green lettuce,23
607,607,0.2,0.041,0.004,0.094,11.0,4.6,3.0,1.8,0.0,0.035,149.0,0.0,0.0,0.013,0.029,0.0,0.037,0.6,0.3,0.3,89.1,0.0,0.9,0.008,41.3,0.2,0.7,31.4,0.2,74.3,561.0,0.037,16.506,group5,kohlrabi cooked,48
